N,phi_lo,phi_hi,phi_c,xB_c,Q2_c,t_c,avg,d4sig_center,C_BC,n_phys,n_valid,n_xsec_failed,physical_fraction
10,180.0,225.0,202.5,0.125,1.75,-0.175,7.037199184625084e-05,6.0208871495894334e-05,1.1687977219611154,10000,10000,0,1.0
10,225.0,270.0,247.5,0.125,1.75,-0.175,0.0001085702473017071,8.788990118791293e-05,1.2352983202197323,10000,10000,0,1.0
10,270.0,315.0,292.5,0.125,1.75,-0.175,0.00011798861012437216,9.445235875897474e-05,1.2491864859135775,10000,10000,0,1.0
10,315.0,360.0,337.5,0.125,1.75,-0.175,9.310995454493807e-05,7.605202399699979e-05,1.2242929201806805,10000,10000,0,1.0
12,0.0,45.0,22.5,0.125,1.75,-0.17500000000000002,9.316933782530392e-05,7.605203047741012e-05,1.2250736402492002,20736,20736,0,1.0
12,45.0,90.0,67.5,0.125,1.75,-0.17500000000000002,0.00011806974972176766,9.445235875897474e-05,1.2500455390749976,20736,20736,0,1.0
12,90.0,135.0,112.5,0.125,1.75,-0.17500000000000002,0.00010864132297197545,8.788990819376193e-05,1.2361069115291938,20736,20736,0,1.0
12,135.0,180.0,157.5,0.125,1.75,-0.17500000000000002,7.04071083740415e-05,6.020886501548401e-05,1.1693810928994393,20736,20736,0,1.0
12,180.0,225.0,202.49999999999997,0.125,1.75,-0.17500000000000002,7.040711196017958e-05,6.0208871495894334e-05,1.1693810265980598,20736,20736,0,1.0
12,225.0,270.0,247.5,0.125,1.75,-0.17500000000000002,0.000108641330056593,8.788990118791293e-05,1.2361070906691827,20736,20736,0,1.0
12,270.0,315.0,292.5,0.125,1.75,-0.17500000000000002,0.00011806974715988832,9.445235875897474e-05,1.2500455119514893,20736,20736,0,1.0
12,315.0,360.0,337.5,0.125,1.75,-0.17500000000000002,9.31693337830385e-05,7.605202399699979e-05,1.225073691486685,20736,20736,0,1.0
15,0.0,45.0,22.500000000000007,0.125,1.75,-0.175,9.321796553678259e-05,7.605203047741012e-05,1.2257130408171193,50625,50625,0,1.0
15,45.0,90.0,67.5,0.125,1.75,-0.175,0.00011813618386726551,9.445235875897474e-05,1.2507489004983727,50625,50625,0,1.0
15,90.0,135.0,112.5,0.125,1.75,-0.175,0.00010869952695623156,8.788990819376193e-05,1.2367691489288257,50625,50625,0,1.0
15,135.0,180.0,157.5,0.125,1.75,-0.175,7.043586370492e-05,6.020886501548401e-05,1.1698586858730171,50625,50625,0,1.0
15,180.0,225.0,202.5,0.125,1.75,-0.175,7.043587133110976e-05,6.0208871495894334e-05,1.169858686620838,50625,50625,0,1.0
15,225.0,270.0,247.5,0.125,1.75,-0.175,0.00010869953256211016,8.788990118791293e-05,1.2367693112967006,50625,50625,0,1.0
15,270.0,315.0,292.5,0.125,1.75,-0.175,0.0001181361798093988,9.445235875897474e-05,1.2507488575363255,50625,50625,0,1.0
15,315.0,360.0,337.5,0.125,1.75,-0.175,9.321796080664335e-05,7.605202399699979e-05,1.225713083064308,50625,50625,0,1.0
